"SlNo",Asset Id,Asset Name,"StartChainage","EndChainage","Length(Km)",District
1,PW05010102036310,Puthenpalam Venjaramood road,0,17.1,17.1,TVPM
2,PW05010102036306,Thekkada - Panavoor,0,7.2,7.2,TVPM
3,PW05010104016305,"Enchackal - Puthen Road Jn - PonnaraBridge",0,1.62,1.62,TVPM
4,PW05010105036314,Ayroor Hariharapuram road,0,9,9,TVPM
5,PW05010104016304,Kalpakadavu - Chackai (Karali Road),0,1.86,1.86,TVPM
6,PW05010102036309,Kallayam seemavila,0,4.8,4.8,TVPM
7,PW05010101016301,"Eruthavoor MukkampalamooduNaruvamoodu road",0,3,3,TVPM
8,PW05010101016302,Moolakonam road,0,7.6,7.6,TVPM
9,PW05010104016317,Kaithamukku - Pettah,0,1.45,1.45,TVPM
10,PW05010102046304,Kuriyathi - Marangad road,0,3.6,3.6,TVPM
11,PW05010105016302,OLD NH,0,1.9,1.9,TVPM
12,PW05010105016305,Plavazhikum-Anjuthegu Road,2.25,5.45,3.2,TVPM
13,PW05010103046323,Arasumoodu- Kuzhivila,0,3,3,TVPM
14,PW05010103046304,Ambalam-Pachira,0,4.45,4.45,TVPM
15,PW05010103046322,Karyavattom- Thrippadapuram,0,3,3,TVPM
16,PW05010103046321,Kariyam-Pothencode,0,10,10,TVPM
17,PW05010104016301,Statue-General Hospital-Vanchiyoor,0,1.2,1.2,TVPM
18,PW05010102016302,"Chanichalkadavu GV Raja Aruvikkararoad",0,2.5,2.5,TVPM
19,PW05010101036301,Amaravila Karakkonam road,0,7.05,7.05,TVPM
20,PW05010103046301,Narikal-Pullanivila-Chavadimukku,0,6.42,6.42,TVPM
21,PW05010102016303,Kalathukal Uriakkod road,0,4,4,TVPM
22,PW05010102046305,Thiruvananthapuram Neyyar Dam road,17.8,27.2,9.4,TVPM
23,PW05010103046320,Padinjattumukku Stationkadavu,0,6.4,6.4,TVPM
24,PW05010103046318,Vetturoad St Andrews,0,2.8,2.8,TVPM
25,PW05010103046317,"Sreekariyam Kazhakuttom ViaKulathoor",0,7,7,TVPM
26,PW05010103046316,Vembayam Pallippuram,6.4,12.8,6.4,TVPM
